name,location
쿠라사키말따윈안들을거야 1~19완,10(화장실 옆)
P와 여고생 1~16권(완),책장 8-13
프리즈마 이리야 1~9권,책장 3-1
크게 휘두르며 1~35권,책장 2-1
타카네와 하나 1~18권(완),책장 8-1
귀여운 사람 1~7권,책장 8-4
가브릴드롭아웃 1~11권,책장 7-9
왕자에게는 독이 있다 1~10권,책장 8-14
남자 고교생의 일상 1~7권,책장 7-8
물방울 허니 보이 1~10권,책장 8-3
보쿠걸 1~11권,책장 7-8
다가시카시 1~11권,책장 7-10
어제뭐먹었어 1~22권,책장 4-3
늑대와향신료(코믹스) 1~16권,책장 7-9
PEACEMAKER 피스메이커 1~17권 완,책장 6-2
레드문 1~11권(완),책장 8-17
스트롭에지 1~10권(완),책장 8-13
쿠마미코 1~8권,책장 4-2
사랑과 요괴와 학생회 1~4권,책장 8-14
헤로인 실격 1~10권(완),책장 8-5
요괴 아파트의 우아한 일상 1~28권,책장 5-3
꽃에게 짐승 1~10권,책장 8-3
좋아한다고 말하게 하는법 1~9권,책장 8-4
주문 배달의 왕자님 1~8권,책장 4-1
러브인 하우스 1~10권,책장 8-14
홍색히어로 1~20권(완),책장 8-13
유라기장의 유우나씨 1~24권,책장 8-10
전대대실격 1~13권,책장 1-7
결벽남자! 아오야마군 1~13권,책장 1-2
"마왕님, 리트라이! 1~4",책장 1-4
대다크 1~5권,책장 1-1
리얼 1~15권,책장 2-1
에어리어의기사 1~57권 완,책장 2-4
다이아몬드에이스 2부 1~34권 완,책장 2-4
고앤고 1~30권 완,책장 2-4
테니스의왕자 1~42권 완,책장 2-6
나의히어로아카데미아 1~41권(완결),책장 1-3
슈팅 코리아 1~32권,책장 2-6
거인의별 하나가타 1~22권 완,책장 2-6
겟백커스 1~39권 완,책장 2-7
코드기어스 1~7권 완,책장 3-1
이누X보쿠SS 1~11권 완,책장 3-1
재봉사의공방 1~13권 완,책장 3-1
블랙캣 1~20권 완,책장 3-1
데스마스크 1~4권 완,책장 3-1
쿠로가네 1~8권 완,책장 2-7
마이언전기 1~14권,책장 3-1
불꽃의인페르노 1~6권,책장 3-2
풍장의시대 1~9권 완,책장 3-2
카니발 1~28권 완,책장 3-3
야이바 1~24 완,책장 3-3
절대미각 식탐정 1~16권 완,책장 4-1
셰프 1~41권 완,책장 4-1
키라라의 일 1~23권 완,책장 4-4
맛의 달인 1~111권,책장 4-4
하나씨의 간단 요리 1~3권,책장 4-4
먹짱 1~24권 완,책장 4-5
프리징 1~14완,책장 3-6
철냄비짱 정상작전 1~10권 완,책장 4-5
BECK 벡 1~34권 완,책장 4-2
스즈메의 문단속 1~3권 (완),책장 7-7
은수저 1~14권,책장 4-2
전당포 시노부의 보석상자 1~22권,책장 4-2
절원의 템페스트 1~10권 완,책장 3-5
하나마루 유치원 1~11권 완,책장 4-2
안녕 자두야 1~34권,책장 4-6
"시골개와 서울고양이 1,2권",책장 4-6
책벌레의 하극상 1~5권,책장 4-3
꽃에 물들다 1~8권 완,책장 4-3
풀솜나물 1~8권 완,책장 4-3
요괴전문 의사선생님 1~15권 완,책장 4-7
최상의 명의 -더 킹 오브 니트- 1~19권 완,책장 4-7
최상의 명의 1~11권 완,책장 4-7
서점 숲의 아카리 1~12권 완,책장 4-7
견신 1~10권 완,책장 5-7
불쾌한 모노노케안 1~11 완,책장 5-3
AREAD(이능영역) 1~13 완,책장 5-6
3X3EYES 1~40 완,책장 5-6
제로 시작의관 1~10 완,책장 5-6
누라리횬의 손자 1~25 완,책장 5-2
바질리스크 1~5권,책장 5-2
아라크니드 1~14,책장 5-2
에덴의왕 1~6,책장 5-5
요괴소년 호야 1~33,책장 5-5
탐정학원Q 1~22완+프리미엄,책장 5-4
차나왕 요시츠네 겐페이전쟁 1~29권 완,책장 6-1
황혼소녀 X 암네지아 1~10권 완,책장 5-4
차나왕 요시츠네 1~22권 완,책장 6-1
ReMember 리멤버 1~7 완,책장 6-2
용랑전 1~21권,책장 6-3
용랑전 왕패입국편 1~9권,책장 6-3
격투맨 바키 1~42권(+외전) 1부 완,책장 6-5
바키 외전 1~5권,책장 6-5
바키 1~31권,책장 6-5
한마바키 1~37권 완,책장 6-5
수라문 1~31권 완,책장 6-5
용오 the Negotiator 1~12권,책장 6-6
붉은매2 1~28권,책장 6-6
도시정벌 제12부 1~9권,책장 6-7
"꼴찌, 동경대 가다! 1~21권 완",책장 6-7
도쿄대 리벤저스 ~바지 케이스케로부터의 편지~ 1~4권,책장 7-7
Kotteri! 코테리 1~3권,책장 7-7
벚꽃사중주 1~31권,책장 7-8
소년메이드 1~10권 완,책장 8-11
오빠의 아내와 살고 있습니다 1~10권,책장 7-9
메이드 인 어비스 MADE IN ABYSS 1~12권,책장 7-7
스즈미야 하루히의 우울 1~20권 완,책장 7-9
미도리의나날 1~8권 완,책장 7-9
노게임 노라이프예요! 1~4권(완),책장 7-10
집주인은 사춘기! 1~4권,책장 7-10
서른 즈음이지만 첫사랑입니다,책장 7-10
내 여친은 최고입니다! 1~6권 완,책장 7-10
논논비요리 1~11권,책장 7-10
To LOVE -트러블- 1~18권 완,책장 7-10
용이 비를 내리는 나라 2부 1~3권,책장 8-11
용이 비를 내리는 나라 3부 1~4권 완,책장 8-11
엔도군 관찰일기,책장 8-11
밤하늘 한구석에,책장 8-11
시맨틱에러 1~2권,책장 8-11
햇빛이 들린다 -춘하추동- 1~2권,책장 8-11
햇빛이 들린다 -리미트- 1~3권,책장 8-11
햇빛이 들린다 -행복론-,책장 8-11
비밀 (더 톱 시크릿트) 1~12권 완,책장 8-11
진격 거인 중학교 1~11권 완,책장 1-7
방주,책장 8-11
비실쟁이 달링,책장 8-11
빗소리 노래,책장 8-11
뒤틀린 표적,책장 8-11
첼로 멜로우,책장 8-11
안녕 형,책장 8-11
아리마씨는 오메가가 되고 싶어,책장 8-11
파인더의 끝,책장 8-11
파인더의 화염,책장 8-11
파인더의 포옹,책장 8-11
파인더의 밀약,책장 8-11
파인더의 고동,책장 8-11
파인더의 밀월,책장 8-11
아오바 군의 시크릿 버진,책장 8-11
성충권의 빛 1~2권,책장 8-11
도쿄리벤저스 1~31권(완),책장 1-3
Dreams드림 1~71권(완),책장 2-5
우다가와에서 기다려 줘.,책장 8-11
처음부터 끝까지 사랑,책장 8-11
왕자와 맺어진 밤,책장 8-11
숏 타입 콤플렉스,책장 8-11
사랑은 세계를 구하는 걸까,책장 8-11
이 만남은 최악,책장 8-11
월영,책장 8-11
염려스러운 동정,책장 8-11
양아치의 오타쿠 남친,책장 8-11
잊어버린 너와의 300일,책장 8-11
WORST 워스트 1~33권(완),책장 2-7
댄싱 컬러즈 DANCING COLORS,책장 8-11
천일야화 1~10권,책장 8-11
퍼펙트 월드 1~12권(완),책장 8-12
우리 남동생들이 죄송합니다 1~6권,책장 8-12
누나의 친구가 성가신 이야기 1~2권,책장 8-12
친구의 누나를 사랑한 이야기 1~2권,책장 8-12
나의 행복한 결혼 1~5권,책장 8-12
히노코 1~8권,책장 8-12
정반대의 너와나 1~6권,책장 7-8
타나카시리즈(폭두고딩+폭두방랑+폭두직딩+폭두백수 총40권완),책장 2-6
하늘의플라타너스 1~28권(완),책장 2-5
이세계에서 왕태자비 시작했습니다,책장 8-12
거짓말쟁이 보이프렌드 1~7권,책장 8-12
못난 부녀지간입니다만 1~7권,책장 8-13
슈가솔저 1~10권,책장 8-13
꽃집과 악마 1~10권(완),책장 8-13
쿠로사키 말따위 안 들을 거야 1~19권(완),책장 8-14
건방진 그 녀석 1~23권,책장 8-14
남자친구는 오렌지색 1~13권,책장 8-14
좋으니까 좋아 1~3권,책장 8-14
걷고 있어 1~11권(완),책장 8-14
나와 너의 소중한 이야기 1~7권(완),책장 8-14
집사님 마음대로 1~21권(완),책장 8-14
우리는 언제나 1~11권(완),책장 8-14
언니의 결혼 1~8권(완),책장 8-15
(번외편) 너에게 닿기를 운명의 사람 1~3권,책장 8-15
여명의 아르카나 1~13권(완),책장 8-16
순혈 그이 1~10권(완),책장 8-16
Pure Crown 퓨어 크라운 1~8권,책장 8-17
하백의 신부 1~ 24권(완) + 외전,책장 8-17
도쿄대리벤저스 1~2권,책장 7-7
하루꾼 1~5권,책장 8-17
Vampire Library 뱀파이어 도서관 1~13권(완),책장 8-17
푸른유리 1~7권,책장 8-17
탐나는도다 1~14권(완),책장 8-17
무명기 1~14권,책장 8-17
네가 있던 미래에선 1~11권,책장 8-18
물고기의 밤 1~9권,책장 8-18
RURE 루어 1~30권,책장 8-18
Lady detective 레이디 디텍티브 1~6권(완),책장 8-18
매리는 외박중 1~10권(완),책장 8-18
체리 신드롬 1~10권,책장 8-10
교과서엔 없어! 1~17권,책장 8-10
심해수 1~9권(완),책장 7-1
유미의 세포들 1~13권(완),책장 7-1
무민 코믹 스트립 완전판 1~6권,책장 7-1
호문쿨루스 1~15권(완),책장 5-3
양말도깨비 시즌3,책장 7-4
통 - 비밀 1~4권(완),책장 7-6
탐묘인간 1~4권(완),책장 7-6
마음의 소리 레전드100 1 - 깨어난 재미,책장 7-6
